plz,lat,lon,ort
1897,46.367655,6.859508,Les Evouettes
1899,46.320309,6.87658,Torgon
1892,46.199861,7.042982957,Lavey-Village
1893,46.279117,6.926319,Collombey-Muraz
1896,46.33596532,6.849174152,Vouvry
1896,46.33596532,6.849174152,Miex
1897,46.367655,6.859508,Bouveret
1898,46.370151,6.804453,Saint-Gingolph
1902,46.1482099,6.948129142,Evionnaz
1903,46.173387,7.050894,Collonges
1904,46.13804458,7.031867373,Vernayaz
1905,46.1511,7.057486,Dorénaz
1906,46.12133597,7.136734985,Charrat
1907,46.13625977,7.184290081,Saxon
1908,46.14301564,7.237994539,Riddes
1912,46.20019582,7.155872524,Leytron
1911,46.198505,7.165307297,Ovronnaz
1000,46.55204314,6.652307803,Lausanne 14
1913,46.17749787,7.158664249,Saillon
1914,46.149152,7.259091,Isérables
1918,46.144805,7.232991,La Tzoumaz
1955,46.2150441,7.197060427,Chamoson
1955,46.2150441,7.197060427,St-Pierre-Clages
1957,46.23006556,7.237855037,Ardon
1920,46.10722952,7.080832532,Martigny
1920,46.10722952,7.080832532,Martigny 1
1920,46.10722952,7.080832532,Martigny 2
1921,46.082144,7.100299539,Martigny-Croix
1000,46.55204314,6.652307803,Lausanne 16
1923,46.119519,6.998923968,Le Trétien
1925,46.071529,6.946639,Le Châtelard VS
1927,46.077431,7.102810005,Chemin
1929,46.039548,6.998798,Trient
1928,46.095956,7.044956,Ravoire
1922,46.11027124,6.959787731,Salvan
1922,46.11027124,6.959787731,Granges (Salvan)
1923,46.119519,6.998923968,Les Marécottes
1925,46.071529,6.946639,Finhaut
1000,46.55204314,6.652307803,Lausanne 17
1926,46.15752759,7.111743582,Fully
1932,46.06419,7.082431,Bovernier
1947,46.066042,7.233223,Versegères
1941,46.092184,7.156268,Vollèges
1942,47.512984,9.266452,Levron
1948,46.033925,7.294589825,Lourtier
1948,46.033925,7.294589825,Fionnay
1948,46.033925,7.294589825,Sarreyer
1945,45.980234,7.188409,Liddes
1000,46.55204314,6.652307803,Lausanne Montchois
1946,45.923083,7.210719,Bourg-Saint-Pierre
1943,45.980514,7.140611582,Praz-de-Fort
1944,45.916726,7.104615,La Fouly VS
1933,46.06937426,7.145649365,Sembrancher
1934,46.067126,7.215096587,Le Châble VS
1936,46.100141,7.225280581,Verbier
1937,45.97225247,7.101397761,Orsières
1938,46.036265,7.113064917,Champex-Lac
1000,46.55204314,6.652307803,Lausanne 20
1950,46.23043627,7.36598628,Sion
1950,46.23043627,7.36598628,Sion 1
1950,46.23043627,7.36598628,Sion 1 Dist
1951,46.228091,7.358857,Sion
1951,46.228091,7.358857,Sion Swisscom
1950,46.23043627,7.36598628,Sion 2
1950,46.23043627,7.36598628,Sion 3
1000,46.55204314,6.652307803,Lausanne 21
1975,50.530128,5.41122,St-Séverin
1976,46.258117,7.30761187,Erde
1976,46.258117,7.30761187,Aven
1976,46.258117,7.30761187,Daillon
1971,46.25596531,7.380859263,Grimisuat
1974,46.298611,7.375556,Arbaz
1961,46.21101,7.434863,Vernamiège
1973,46.207798,7.47582,Nax
1968,46.193562,7.458064,Mase
1969,46.158064,7.457268,Saint-Martin VS
1000,46.55204314,6.652307803,Lausanne 22
1981,46.19685113,7.391049559,Vex
1982,46.16153,7.414289686,Euseigne
1984,46.083466,7.519590746,Les Haudères
1986,46.035958,7.483709605,Arolla
1985,46.098297,7.515359,La Sage
1987,46.08877181,7.395633307,Hérémence
1987,46.08877181,7.395633307,Mâche
1988,46.181429,7.371336,Les Collons
1991,46.20762392,7.35367564,Salins
1992,46.199086,7.368009,Les Agettes
1000,46.55204314,6.652307803,Lausanne 23
1992,46.199086,7.368009,Les Mayens-de-Sion
1993,46.19722116,7.337975263,Veysonnaz
1997,46.136053,7.315865,Siviez (Nendaz)
1996,46.152039,7.283129975,Fey (Nendaz)
1996,46.152039,7.283129975,Beuson (Nendaz)
1996,46.152039,7.283129975,Baar (Nendaz)
1996,46.152039,7.283129975,Basse-Nendaz
1997,46.136053,7.315865,Nendaz
1994,46.198447,7.318098208,Aproz (Nendaz)
1000,46.55204314,6.652307803,Lausanne Vennes
1962,46.224655,7.30919,Pont-de-la-Morge
1963,46.22582799,7.270570814,Vétroz
1964,46.27249954,7.254728705,Conthey
1965,46.30934246,7.311391673,Savièse
1966,46.32795929,7.41023662,Ayent
1966,46.32795929,7.41023662,Signèse (Ayent)
1967,46.233583,7.398838677,Bramois
1000,46.55204314,6.652307803,Lausanne 25
1983,46.04978939,7.509352629,Evolène
1972,46.296981,7.400421,Anzère
1988,46.181429,7.371336,Thyon
2000,47.00942042,6.93809901,Neuchâtel
2004,46.988228,6.893777,Neuchâtel 4
2007,46.988419,6.894149,Neuchâtel 7
1000,46.55204314,6.652307803,Lausanne 26
2008,46.990335,6.931085,Neuchâtel
2009,46.988419,6.894149,Neuchâtel 9
2001,46.988228,6.893777,Neuchâtel 1
1000,46.55204314,6.652307803,Lausanne 27
2001,46.988228,6.893777,Neuchâtel 1 Dist C
2002,46.988228,6.893777,Neuchâtel 2
2000,47.00942042,6.93809901,Neuchâtel 2 Dist
2002,46.988228,6.893777,Neuchâtel Swisscom
2003,46.988228,6.893777,Neuchâtel 3
2006,46.988228,6.893777,Neuchâtel 6
2012,46.9775002,6.878685848,Auvernier
2013,46.96958,6.860917,Colombier NE
2014,46.96887005,6.837130413,Bôle
2015,46.957225,6.857165,Areuse
2016,46.94400873,6.847917012,Cortaillod
2017,46.95311398,6.807746781,Boudry
2022,46.93116297,6.804130296,Bevaix
2023,46.92424723,6.765055642,Gorgier
2024,46.89986,6.755201,Saint-Aubin-Sauges
2025,46.900382,6.782803345,Chez-le-Bart
1000,46.55204314,6.652307803,Lausanne 1 Dist
2028,46.873294,6.745425,Vaumarcus
2034,46.99555216,6.889489285,Peseux
2035,46.985117,6.875569,Corcelles-Cormondrèche
2036,46.98055,6.869562,Cormondrèche
2042,46.953292,6.902546,Valangin
2043,47.031,6.881124,Boudevilliers
2046,47.060726,6.874298,Fontaines NE
2052,47.05912147,6.883783852,Fontainemelon
2053,47.07618452,6.900620029,Cernier
2054,47.072854,6.925595,Chézard-Saint-Martin
2054,47.072854,6.925595,Les Vieux-Prés
2056,47.08449713,6.953386244,Dombresson
2057,47.089123,6.993208,Villiers
2058,47.106986,6.989688,Le Pâquier NE
1000,46.55204314,6.652307803,Lausanne Swisscom
2063,47.026029,6.930508,Vilars NE
2065,47.050346,6.956586,Savagnier
2067,47.012327,6.94971554,Chaumont
2068,47.015268,6.922689,Hauterive NE
2072,47.024492,6.988657,Saint-Blaise
2073,47.064741,7.009513,Enges
2074,47.00926959,7.012101025,Marin-Epagnier
3238,47.02784,7.0739,Gals
2087,47.032614,7.013854,Cornaux
2088,47.050519,7.024022,Cressier NE
2318,46.984783,6.750701,Brot-Plamboz
2103,46.953189,6.724971,Noiraigue
2105,46.94865533,6.677860842,Travers
2108,46.9340283,6.630536399,Couvet
2112,46.903988,6.562438,Môtiers NE
2113,46.928314,6.588505,Boveresse
2114,46.89522306,6.589829271,Fleurier
2115,46.88356778,6.535018678,Buttes
2117,46.86310393,6.487510121,La Côte-aux-Fées
2123,46.920936,6.545915,Saint-Sulpice NE
2406,46.96821598,6.582748686,La Brévine
2126,46.91495977,6.474972781,Les Verrières
2406,46.96821598,6.582748686,Le Brouillet
2406,46.96821598,6.582748686,Les Taillères
2127,47.540912,8.577898,Les Bayards
2149,46.960221,6.757977,Champ-du-Moulin
2124,46.938641,6.593202,Les Sagnettes
2116,46.877765,6.510081,Mont-de-Buttes
1454,46.841718,6.482612,La Vraconnaz
2019,46.986265,6.803973,Chambrelien
2019,46.986265,6.803973,Rochefort
2037,47.000457,6.831644,Montmollin
2206,47.021641,6.847644,Les Geneveys-sur-Coffrane
2207,47.009363,6.850036,Coffrane
2208,47.050709,6.863913,Les Hauts-Geneveys
2300,47.11016677,6.833384097,La Chaux-de-Fonds
2300,47.11016677,6.833384097,La Chaux-de-Fds 1
2302,47.11016677,6.833384097,La Chaux-de-Fonds
2303,47.11016677,6.833384097,La Chaux-de-Fonds
2306,47.11016677,6.833384097,La Chaux-de-Fonds
2300,47.11016677,6.833384097,Chdfds 1 Dist
2301,47.11016677,6.833384097,La Chaux-de-Fonds
2304,47.11016677,6.833384097,La Chaux-de-Fonds
2316,46.997312,6.730192,Petit-Martel
2338,47.223004,6.986145,Les Emibois
2314,47.047069,6.801457,La Sagne
2316,46.997312,6.730192,Les Ponts-de-Martel
2322,47.077867,6.783163,Le Crêt-du-Locle
2325,47.107605,6.768187,Les Planchettes
2300,47.11016677,6.833384097,La Cibourg
2333,47.143308,6.893077,La Ferrière
2336,47.17950002,6.898250591,Les Bois
2400,47.05317789,6.748155053,Le Locle
2406,46.96821598,6.582748686,La Châtagne
2405,47.005931,6.694585,La Chaux-du-Milieu
2400,47.05317789,6.748155053,Le Prévoux
2414,47.013594,6.666785,Le Cerneux-Péquignot
2416,47.07480371,6.724766959,Les Brenets
2500,47.14706,7.29099,Biel BE
2512,47.122351,7.197346,Tüscherz-Alfermée
2513,47.10312036,7.160191466,Twann
2514,47.089107,7.144994,Ligerz
2515,47.150809,7.122924,Prêles
2516,47.12716181,7.155651705,Lamboing
2517,47.118193,7.117711,Diesse
2518,47.121357,7.083118,Nods
